row	example	system	relation	displayed_result	inputs	queries	run_ids	reason
D4	Nixon defaults	clingo	N	2 models	asp_cases.lp	d4_pos;d4_neg	clingo_cases	
D4	Nixon defaults	DLV/I-DLV	N	2 models	asp_cases.lp;idlv/d4_nixon.lp	d4_pos;d4_neg	dlv_cases;idlv_reference	
D4	Nixon defaults	s(CASP)	N	yes/yes	scasp_cases.pl	d4_pos;d4_neg	scasp_d4_pos;scasp_d4_neg	
D4-P	probabilistic Nixon premises	GK	A	+.20/-.20	gk/d4sm_pos.gkp;gk/d4sm_neg.gkp	pacifist(n);-pacifist(n)	gk_d4sm_pos;gk_d4sm_neg	
D4-P	probabilistic Nixon premises	ProbLog	U	U				The selected semantics does not represent the row's stable-model choice.
D4-P	probabilistic Nixon premises	PASTA	N	[.32,.80]/[.12,.60]	pasta_d4sm.lp	pacifist;nonpacifist	pasta_d4sm_pacifist;pasta_d4sm_nonpacifist	
D4-P	probabilistic Nixon premises	plingo	N	.54054/.40540	plingo_d4sm.lp	pacifist;nonpacifist	plingo_d4sm	
D4-P	probabilistic Nixon premises	smProbLog	N	.56/.36	smproblog_d4sm.pl	pacifist;nonpacifist	smproblog_d4sm	
D4-P	probabilistic Nixon premises	Tweety	U	U				The selected semantics does not represent the row's stable-model choice.
D4-P	probabilistic Nixon premises	clingo	U	U				The selected semantics does not represent the row's stable-model choice.
D4-P	probabilistic Nixon premises	DLV/I-DLV	U	U				The selected semantics does not represent the row's stable-model choice.
D4-P	probabilistic Nixon premises	s(CASP)	U	U				The selected semantics does not represent the row's stable-model choice.
D5	strict priority	GK	N	.30	gk/d5.gkp	d5_pos	gk_d5	
D5	strict priority	ProbLog	A	.63/.30	problog_cases.pl	d5_pos;d5_neg	problog_cases	
D5	strict priority	PASTA	A	[.63,.63]/[.30,.30]	pasta_cases.lp	d5_pos;d5_neg	pasta_d5_pos;pasta_d5_neg	
D5	strict priority	plingo	A	.63/.30	plingo_cases.lp	d5_pos;d5_neg	plingo_cases	
D5	strict priority	smProbLog	A	.63/.30	smproblog_cases.pl	d5_pos;d5_neg	smproblog_cases	
D5	strict priority	Tweety	A	no/yes	tweety/d5_specificity.delp	Flies(opus);~Flies(opus)	tweety_reference	
D5	strict priority	clingo	A	no/yes	asp_cases.lp	d5_pos;d5_neg	clingo_cases	
D5	strict priority	DLV/I-DLV	A	no/yes	asp_cases.lp	d5_pos;d5_neg	dlv_cases	
D5	strict priority	s(CASP)	A	no/yes	scasp_cases.pl	d5_pos;d5_neg	scasp_d5_pos;scasp_d5_neg	
D6	undercut vs. rebut	GK	N	1/1	gk/d6_undercut.gkp;gk/d6_rebut.gkp	d6_undercut;d6_rebut	gk_d6_undercut;gk_d6_rebut	
D6	undercut vs. rebut	ProbLog	A	1/1	problog_cases.pl	d6_undercut;d6_rebut	problog_cases	
D6	undercut vs. rebut	PASTA	A	[1,1]/[1,1]	pasta_cases.lp	d6_undercut;d6_rebut	pasta_d6_undercut;pasta_d6_rebut	
D6	undercut vs. rebut	plingo	A	1/1	plingo_cases.lp	d6_undercut;d6_rebut	plingo_cases	
D6	undercut vs. rebut	smProbLog	A	1/1	smproblog_cases.pl	d6_undercut;d6_rebut	smproblog_cases	
D6	undercut vs. rebut	Tweety	U	U				No faithful encoding of the row's GK construct is claimed.
D6	undercut vs. rebut	clingo	A	yes/yes	asp_cases.lp	d6_undercut;d6_rebut	clingo_cases	
D6	undercut vs. rebut	DLV/I-DLV	A	yes/yes	asp_cases.lp	d6_undercut;d6_rebut	dlv_cases	
D6	undercut vs. rebut	s(CASP)	A	yes/yes	scasp_cases.pl	d6_undercut;d6_rebut	scasp_d6_undercut;scasp_d6_rebut	
D7	paired exception	GK	N	0_m	gk/d7.gkp	d7_pos	gk_d7	
D7	paired exception	ProbLog	A	.48/.48	problog_cases.pl	d7_pos;d7_neg	problog_cases	
D7	paired exception	PASTA	A	[.48,.48]/[.48,.48]	pasta_cases.lp	d7_pos;d7_neg	pasta_d7_pos;pasta_d7_neg	
D7	paired exception	plingo	A	.48/.48	plingo_cases.lp	d7_pos;d7_neg	plingo_cases	
D7	paired exception	smProbLog	A	.48/.48	smproblog_cases.pl	d7_pos;d7_neg	smproblog_cases	
D7	paired exception	Tweety	U	U				No faithful encoding of the paired reference-class construction is claimed.
D7	paired exception	clingo	U	U				No faithful encoding of the paired reference-class construction is claimed.
D7	paired exception	DLV/I-DLV	U	U				No faithful encoding of the paired reference-class construction is claimed.
D7	paired exception	s(CASP)	U	U				No faithful encoding of the paired reference-class construction is claimed.
N1	Study 4: open join query	GK	N	(.50,.30,.30,.60)	gk/n1_study4.gkp	twobirds(X,Y)	gk_n1	
N1	Study 4: open join query	ProbLog	E	(.50,.30,.30,.60)	problog_nonground.pl	n1_twobirds(X,Y)	problog_nonground	
N1	Study 4: open join query	PASTA	E	([.50,.50],[.30,.30],[.30,.30],[.60,.60])	pasta_nonground.lp	n1_twobirds(a,a);n1_twobirds(a,b);n1_twobirds(b,a);n1_twobirds(b,b)	pasta_n1_aa;pasta_n1_ab;pasta_n1_ba;pasta_n1_bb	
N1	Study 4: open join query	plingo	E	(.50,.30,.30,.60)	plingo_nonground.lp	n1_twobirds(a,a);n1_twobirds(a,b);n1_twobirds(b,a);n1_twobirds(b,b)	plingo_nonground	
N1	Study 4: open join query	smProbLog	E	(.50,.30,.30,.60)	smproblog_nonground.pl	n1_twobirds(X,Y)	smproblog_nonground	
N1	Study 4: open join query	Tweety	U	U				No faithful encoding of the row's GK construct is claimed.
N1	Study 4: open join query	clingo	A	{aa,ab,ba,bb}	asp_nonground.lp	n1_twobirds(X,Y)	clingo_nonground	
N1	Study 4: open join query	DLV/I-DLV	A	{aa,ab,ba,bb}	asp_nonground.lp	n1_twobirds(X,Y)	dlv_nonground	
N1	Study 4: open join query	s(CASP)	A	{aa,ab,ba,bb}	scasp_nonground.pl	n1_twobirds(X,Y)	scasp_n1	
N2	Study 10: open recursive query	GK	N	(.80,.688,.1376)	gk/n2_study10.gkp	smokes(X)	gk_n2	
N2	Study 10: open recursive query	ProbLog	E	(.80,.688,.1376)	problog_nonground.pl	n2_smokes(X)	problog_nonground	
N2	Study 10: open recursive query	PASTA	E	([.80,.80],[.688,.688],[.1376,.1376])	pasta_nonground.lp	n2_smokes(ann);n2_smokes(bob);n2_smokes(carl)	pasta_n2_ann;pasta_n2_bob;pasta_n2_carl	
N2	Study 10: open recursive query	plingo	E	(.80,.688,.1376)	plingo_nonground.lp	n2_smokes(ann);n2_smokes(bob);n2_smokes(carl)	plingo_nonground	
N2	Study 10: open recursive query	smProbLog	E	(.80,.688,.1376)	smproblog_nonground.pl	n2_smokes(X)	smproblog_nonground	
N2	Study 10: open recursive query	Tweety	U	U				No faithful encoding of the row's GK construct is claimed.
N2	Study 10: open recursive query	clingo	A	{ann,bob,carl}	asp_nonground.lp	n2_smokes(X)	clingo_nonground	
N2	Study 10: open recursive query	DLV/I-DLV	A	{ann,bob,carl}	asp_nonground.lp	n2_smokes(X)	dlv_nonground	
N2	Study 10: open recursive query	s(CASP)	A	{ann,bob,carl}	scasp_nonground.pl	n2_smokes(X)	scasp_n2	
